물질명,유형,원소수,평균원자질량,평균가전자수,밀도,열전도도,전자비열계수,Tc
Re,원소,1,72.99,3.0,7.1,284.21,0.85,4.02
Ge3Ag3Pr,화합물,3,23.62,3.1,13.72,1.36,0.8,3.92
Se2Yb3,합금,2,116.37,1.9,11.32,119.48,3.84,12.13
In2Pt2,합금,2,44.47,2.0,13.72,134.26,12.13,2.66
CoPrSc2NIn4,고온,5,45.07,2.8,6.17,9.56,8.29,35.76
Yb2N4,화합물,2,74.33,1.6,10.51,29.86,9.73,5.35
Si3Ru2UIn2,화합물,4,12.93,2.6,9.99,43.58,10.0,9.51
Si2HPdNd4PrCd4,고온,6,78.23,1.6,8.15,13.39,4.07,157.04
WAg2,합금,2,47.65,3.8,5.73,95.78,3.43,9.62
MgBiPt,화합물,3,156.48,4.8,5.49,42.6,0.48,6.17
Ga2SO2,화합물,3,49.63,4.7,4.35,11.08,10.57,6.25
Ag2Ho3Sn3Th,화합물,4,75.32,5.4,4.32,36.07,11.66,17.19
ZnU,수소화물,2,20.65,1.9,7.38,46.57,5.67,107.52
Zn3La4Ta3NV3In2,고온,6,71.17,4.5,5.52,13.25,11.13,41.21
Mo3IrLi,화합물,3,14.28,5.2,10.01,33.04,9.44,20.85
CMn2In2CuGa3,고온,5,77.64,5.6,5.62,13.7,3.22,162.44
NbNa3U,합금,3,60.74,5.1,6.23,10.12,10.26,8.3
Y2,원소,1,195.45,1.0,13.01,299.06,9.87,1.38
K2S2Tl,합금,3,157.86,3.5,5.17,138.9,14.77,6.51
Ca3Li2Dy,화합물,3,126.51,3.2,5.61,26.27,1.62,6.7
SbAl2,화합물,2,76.21,5.0,11.47,37.27,0.81,10.33
BTb3FTh3,화합물,4,39.56,5.0,13.23,21.74,11.62,1.33
In3Zn2Ag2C3Th2,고온,5,51.34,5.5,7.86,10.22,2.64,112.02
Li2AsCdPb4,화합물,4,42.91,1.7,4.03,5.0,14.29,0.59
LuHgV2,화합물,3,92.97,5.4,12.68,15.66,10.9,20.13
Th,원소,1,115.29,3.0,7.76,270.48,1.09,1.86
K2,원소,1,165.86,5.0,12.91,317.13,4.1,4.89
NdEuHg,화합물,3,37.47,4.7,12.81,26.08,2.77,9.95
SScPd,화합물,3,105.37,3.6,2.19,41.01,5.17,12.59
B3RbCd2Os4Lu3,고온,5,112.98,4.2,4.68,8.08,11.17,37.61
LiAg2,합금,2,168.34,2.7,3.26,119.83,6.87,3.15
Nd4,원소,1,143.46,2.0,17.49,367.07,8.55,7.18
LiU3CeNb3,화합물,4,133.08,3.1,5.81,33.15,8.08,12.47
Hg2S4,합금,2,148.66,2.5,2.86,97.32,10.21,0.0
N,원소,1,50.48,5.0,14.12,21.09,1.93,4.89
CaCr3CoPr,화합물,4,69.54,3.9,10.71,25.6,8.94,6.06
F2Rb2Sn,합금,3,153.06,3.5,2.63,95.01,6.44,6.29
ScS3V,화합물,3,103.64,2.0,3.45,13.32,4.55,10.5
WRb,화합물,2,133.29,4.4,9.35,19.5,7.25,3.55
La2Sn2,합금,2,30.42,3.7,10.24,124.03,13.08,0.0
Th2TbMn2Be,화합물,4,46.24,5.1,10.24,49.46,10.61,19.37
BeTlOs2GdCsF,고온,6,130.56,2.3,5.92,5.2,12.78,88.62
Rh2Pb,화합물,2,117.86,4.5,3.58,31.81,4.77,18.08
ZnPd2F2CeSY2,고온,6,130.68,1.6,6.36,1.9,4.9,139.6
TiSr,합금,2,38.54,4.4,12.69,61.59,9.57,5.59
Te3InW3GeCaTb2,고온,6,78.91,3.7,5.18,9.15,3.94,102.42
LaY2,합금,2,85.98,5.0,7.37,110.68,10.44,7.49
Ni4Rh3Ge2Na2,화합물,4,93.13,4.0,5.66,40.65,14.54,14.45
Ba3Al,화합물,2,158.68,3.2,12.12,40.05,1.95,4.86
Cs3Nb3SiC2Re,고온,5,115.49,4.1,5.77,2.97,2.0,158.5
V4Ir2Er,화합물,3,43.21,1.6,3.17,36.91,12.23,32.9
Na,원소,1,225.57,3.0,5.25,222.83,1.76,2.16
O,원소,1,24.21,4.0,9.88,114.45,2.43,5.94
TiRbFe2Th3,고온,4,88.78,3.3,4.08,1.25,12.49,117.66
CuPd,화합물,2,106.26,4.9,5.91,6.71,8.41,26.48
NaZr3Gd3SrCs3,고온,5,136.54,4.2,4.88,6.63,1.18,157.43
KThEu3,합금,3,50.7,2.2,5.43,25.38,4.03,4.09
Li2Ga2,화합물,2,87.35,3.6,2.35,4.14,1.95,4.9
Ni4,원소,1,168.77,5.0,7.68,358.28,7.46,11.77
Se3TeMn2,수소화물,3,12.79,5.8,4.66,43.6,11.35,269.22
Ca3Ni3,화합물,2,131.84,2.0,5.26,32.16,1.78,11.63
N2Tm2CrSb2In,고온,5,92.99,2.5,3.58,5.32,4.09,64.35
SnMg2,합금,2,176.47,3.9,9.33,110.02,14.65,1.9
Hf3Hg4Nb3,화합물,3,107.31,3.2,10.7,1.71,9.72,18.15
Mg4La2Ba2Ge2,화합물,4,100.54,3.4,10.06,4.45,4.38,0.0
Ca3LiBe3,화합물,3,148.19,4.8,12.92,21.41,12.25,5.56
MoK4DyY2Os3,고온,5,96.19,3.7,4.58,12.35,7.64,96.75
Cs2FErLaPb2,고온,5,57.02,4.1,6.57,14.35,12.48,63.11
OAg2Dy2GdAs,고온,5,37.11,3.9,5.74,4.1,2.32,160.65
Os2Pr2H2C,고온,4,122.79,3.5,5.09,11.52,0.38,136.69
Hf4Sr3,합금,2,140.84,5.3,3.56,45.86,5.97,11.95
Mg2Zr3Be3As,화합물,4,50.06,5.0,8.95,46.25,0.16,8.79
RbW3,수소화물,2,2.97,2.1,2.2,15.92,5.2,174.2
Sr,원소,1,148.59,3.0,10.11,367.13,8.25,0.0
FeGe3Zr2,화합물,3,54.14,2.3,4.72,23.17,1.82,22.13
NbTe4,화합물,2,61.84,4.7,1.86,41.15,7.9,8.89
P3Nd2Si4,화합물,3,20.57,2.6,1.76,11.54,3.76,4.35
Mo2Pb4Cu,수소화물,3,3.17,3.6,5.59,20.4,8.5,121.49
Pr2La,화합물,2,132.99,2.9,3.26,3.85,13.31,0.73
Os4Si,화합물,2,44.91,4.4,11.94,2.54,6.88,9.76
Th,원소,1,168.8,1.0,14.51,21.25,3.34,7.32
RbBa2Y,화합물,3,83.29,5.3,4.09,11.84,14.1,7.49
CsPd3Ti3,합금,3,94.97,1.7,9.67,60.03,8.58,7.82
Gd2Ru3La,화합물,3,98.55,1.7,10.16,30.08,5.58,7.12
Os2Bi3CoFe2,고온,4,93.81,5.9,7.2,7.87,4.73,48.1
MoTh2Hg4CoN2,고온,5,75.23,4.4,7.16,12.0,4.15,110.53
Al4Ti3Yb,합금,3,122.21,4.6,10.56,81.81,10.73,22.71
Ni4Ga2,화합물,2,129.16,5.9,5.72,6.06,8.37,9.96
CsU4LaTeHCo,고온,6,98.71,5.0,7.25,8.94,9.25,54.28
Cu,원소,1,144.89,5.0,10.78,366.49,5.03,4.21
TiF,합금,2,84.38,5.8,15.62,17.08,12.42,11.28
Be3Pr2,합금,2,127.91,2.1,11.49,119.58,5.85,2.56
HfThAs2,화합물,3,52.6,5.8,3.1,3.95,0.61,24.87
GeTh3,합금,2,25.51,3.7,13.31,28.01,11.15,18.79
NiNd2,수소화물,2,28.35,2.9,7.18,6.98,8.06,175.78
Ba3U3Ga2,화합물,3,106.85,2.8,5.49,15.92,5.28,13.86
RuSeUMn3,화합물,4,89.81,2.4,6.74,35.67,11.67,0.0
BiDy4Sm4,합금,3,133.5,5.9,2.57,83.8,4.16,1.83
SmNa2U,화합물,3,88.79,1.7,11.55,23.99,5.82,9.02
K3CrGe4Se3,화합물,4,154.14,3.8,3.51,33.49,5.44,5.76
NaCrU2Ag4Bi2,고온,5,66.1,4.2,4.33,8.42,6.34,120.43
WReTl2ScPb3Si,고온,6,40.22,2.8,7.33,4.65,11.19,36.53
Hf2Tl2Ho3,화합물,3,51.53,2.8,9.18,49.99,14.61,1.67
Ru3PtTbSc3Sb2,고온,5,97.58,3.8,6.3,7.4,5.71,103.89
Ge2Na2Cd2Hf3,고온,4,37.25,5.0,4.65,14.9,10.36,124.03
Cs2SrAs4Rh3,고온,4,132.76,2.8,5.6,13.75,11.18,79.93
Tb,원소,1,131.82,2.0,15.8,328.14,0.68,3.78
Cd2,원소,1,10.69,5.0,5.12,209.39,4.8,7.96
O2Sc2,합금,2,130.15,1.6,14.18,105.64,2.61,0.58
Ce3NSm2,화합물,3,148.84,1.9,1.98,9.35,2.2,14.0
RuRe4Ti2,화합물,3,45.78,4.3,5.24,26.43,4.28,3.23
MoIn,화합물,2,109.36,1.9,8.51,30.14,10.43,2.66
Th3Ca2Cs4Re2Rb2,고온,5,134.03,5.3,7.46,3.78,5.98,161.91
LiTe2RuCu2,고온,4,109.34,2.6,7.88,10.93,4.27,38.02
GdGaCe3ZnRb2,고온,5,89.64,3.5,7.38,10.31,1.34,166.88
Nb3Th4SmU,화합물,4,39.93,4.5,11.22,23.07,3.28,8.03
InMoOs3,화합물,3,19.46,4.4,2.7,34.47,11.54,14.37
EuNi,합금,2,50.35,4.5,10.39,20.44,9.43,6.35
TlNaGd3,합금,3,28.32,5.5,10.75,116.14,5.94,11.9
Fe2F4Ti,합금,3,105.58,2.5,10.56,149.41,3.75,8.45
HfLu2Eu3Zr2,화합물,4,54.11,2.5,4.17,47.81,11.78,13.25
PTeRe,화합물,3,10.02,3.7,11.99,5.46,4.12,12.2
W3Ga3Rh3Sn,고온,4,60.28,5.2,4.1,13.54,6.1,106.39
Fe2Hf,합금,2,119.07,4.2,3.88,133.89,6.82,10.3
Tl2OLaNd2Au2,고온,5,63.13,1.7,3.44,2.22,0.55,60.25
N2Ce3H,화합물,3,29.95,2.5,13.41,4.54,8.18,0.0
Mo3Rh3,화합물,2,39.99,5.8,11.55,37.15,11.22,6.18
NPt3,화합물,2,130.78,4.9,5.11,40.41,0.74,7.97
SrIn3,화합물,2,57.05,4.0,2.49,38.93,6.9,7.7
Zr2Sc4B,화합물,3,30.18,3.7,9.38,28.55,0.72,13.48
PbSm3Y4,화합물,3,99.49,5.5,6.02,46.68,1.31,9.31
AgSiCa3,합금,3,24.85,3.8,3.25,70.38,8.0,3.03
Bi2As3Ga3,합금,3,160.93,2.5,5.98,93.63,2.2,2.59
NdY3Tb,화합물,3,86.16,1.6,7.55,46.55,10.05,0.0
AuNaW2La2,고온,4,114.41,4.0,8.99,9.82,1.11,31.08
Sc4FeHgLi2,화합물,4,114.35,3.1,6.31,23.14,7.52,11.16
MnSiCrSn2Rb,고온,5,44.57,3.6,7.38,2.16,0.48,150.48
Sm2W2,화합물,2,97.53,4.8,6.29,27.44,10.22,7.8
Ni2Y2NdYb3Sr,고온,5,53.09,5.4,5.01,1.71,8.8,49.8
HfNa2RhNdCs3,고온,5,93.81,2.3,4.08,7.38,1.94,117.86
NYbPtGd,화합물,4,69.8,4.0,6.14,47.74,11.24,14.83
PbNb4,화합물,2,87.43,2.4,12.94,18.18,4.99,0.0
Mn3Al2HZn4Ir2Sn,고온,6,103.73,2.0,8.38,3.23,0.98,117.95
ErZn,화합물,2,130.13,5.6,13.17,28.69,7.11,4.52
HCo2Se,화합물,3,118.59,3.3,11.11,21.55,5.11,13.82
Na,원소,1,169.95,5.0,4.2,326.21,0.79,7.72
Be3Hg2SmV3Te2,고온,5,65.03,4.8,8.56,4.6,0.87,39.17
RuY3Ta3Eu3,고온,4,94.2,3.4,3.71,9.12,8.36,116.11
ReS,합금,2,111.98,1.9,14.01,112.04,5.79,7.43
Ir4Sc2,화합물,2,145.12,5.8,10.38,31.74,9.64,11.11
SePr2Cs,화합물,3,36.01,4.8,11.98,1.6,2.2,6.08
Rh2Sn,합금,2,149.37,3.3,15.38,51.64,5.28,0.59
Yb4Si4Mn,수소화물,3,40.15,3.8,4.2,35.56,5.7,183.65
Th3W3,합금,2,31.56,2.4,10.45,27.35,5.68,2.04
W4,원소,1,175.72,3.0,4.92,107.12,1.54,3.58
CeRh2,화합물,2,141.08,2.2,7.22,14.97,11.08,0.0
SnAg2Hg4Er4V,고온,5,63.2,5.3,5.39,11.97,13.53,36.76
K2,원소,1,156.78,3.0,19.16,148.5,6.24,0.75
W2Zr2Gd4,화합물,3,46.92,5.3,9.46,14.01,8.6,47.9
SrTa,화합물,2,129.97,2.2,7.08,8.55,1.2,2.0
CuNd,합금,2,87.38,4.1,15.35,101.7,6.08,14.32
OsCd3,합금,2,57.71,5.9,13.53,103.28,9.52,4.24
ZrMgSe2,화합물,3,118.86,5.9,7.95,9.88,8.47,8.45
CoTl,화합물,2,121.29,1.6,7.99,8.6,10.21,8.4
As2Al3La2U3,고온,4,111.5,3.1,3.42,3.23,1.79,122.96
Ir3Bi2LaDyF,고온,5,66.03,5.5,8.49,4.18,7.23,66.45
Si3U3Sn2,수소화물,3,1.15,5.6,1.13,46.84,0.41,219.59
AuY2B2,합금,3,119.39,2.0,8.58,8.79,14.73,2.15
In4Na4,수소화물,2,53.21,1.9,1.78,8.09,0.68,141.65
SiZr,화합물,2,143.01,2.8,2.57,19.98,4.51,15.73
SiZn2W2Fe,화합물,4,86.91,4.6,13.06,2.89,7.03,15.17
N2,원소,1,16.5,1.0,11.31,26.2,6.91,9.07
Sr2,원소,1,100.91,3.0,10.92,103.82,3.66,5.63
Ta2S3LuZr,화합물,4,126.45,5.8,7.0,39.18,6.47,6.42
Re2AsN3Co,화합물,4,23.74,1.7,8.73,33.98,3.04,9.93
Ge3In2,합금,2,62.67,2.7,11.96,62.89,7.32,4.43
BiY2,화합물,2,66.01,4.1,11.36,49.08,9.35,4.54
U3Rh2,합금,2,110.41,3.3,14.1,117.92,9.55,3.57
DyCu3S3,화합물,3,151.38,5.8,4.08,2.04,6.44,9.75
Mn2Bi3Sc,화합물,3,130.29,5.1,6.56,41.53,13.53,9.33
Na3PtIr3Cd4ReLu3,고온,6,71.37,3.2,8.79,9.95,5.43,105.94
LuErMg2PdSmK2,고온,6,39.49,4.8,6.25,8.09,1.6,126.64
N2Bi3Pd,화합물,3,63.36,2.0,2.43,39.09,8.46,7.12
LiHo,화합물,2,108.43,4.6,1.86,15.45,8.74,16.23
BaPtInSb2,화합물,4,23.07,6.0,10.8,18.77,7.31,11.85
ScPrUNb2,고온,4,101.78,5.6,3.07,14.48,12.48,122.0
N3NbRhCr,화합물,4,149.77,2.4,12.29,1.22,9.51,9.18
Rb2Zn2,합금,2,101.64,5.2,7.29,116.19,8.85,5.83
In2HoV,합금,3,123.83,5.7,6.16,121.51,8.05,6.27
LaLuCu,화합물,3,150.96,2.2,5.51,37.1,4.1,4.27
TaLaP4S2,화합물,4,95.22,2.5,10.55,22.3,8.68,7.34
Dy2PrVAl4Re3,고온,5,117.65,5.2,8.36,6.42,2.83,95.81
TiSb,합금,2,153.2,5.0,5.51,51.98,4.71,13.48
SiPb3,화합물,2,124.33,2.9,1.57,11.55,13.33,6.86
GaSn2Co2Cr3,고온,4,32.7,2.7,4.54,4.06,13.91,67.05
BeTiCaYbMoSc2,고온,6,101.92,2.7,3.61,11.27,7.98,135.69
OTb4B2Mo,화합물,4,132.6,2.3,8.44,14.32,4.71,30.29
RhCdSe2,화합물,3,37.84,2.5,2.01,13.66,3.12,3.44
Ir3BeFe,화합물,3,104.74,2.4,7.8,42.05,11.2,4.84
Ba2Bi2ZrCuSe3,고온,5,109.82,5.7,4.59,10.67,9.91,119.22
Hf2Ir,합금,2,163.52,2.5,13.16,138.68,3.48,13.76
Ti3SiPt3Th2,고온,4,115.18,5.1,8.03,2.44,6.64,154.17
Mn2Th,화합물,2,52.4,3.5,5.76,33.22,12.54,6.65
SiNaO3,화합물,3,156.05,4.4,2.85,1.64,5.65,7.06
F3,원소,1,116.58,3.0,11.24,367.3,0.77,5.14
Mn2C2Dy,화합물,3,49.37,4.6,10.57,4.03,0.26,5.22
K2Cr3Sb,화합물,3,131.81,3.7,3.6,26.98,13.1,6.67
Lu3Ti2,합금,2,149.23,2.6,13.53,23.33,9.06,1.19
NaZn2Cs3,화합물,3,152.04,1.8,2.17,18.72,1.75,17.4
Ir4Ti,수소화물,2,55.72,1.6,1.56,67.53,4.81,273.47
Fe2PrReSn,화합물,4,131.73,5.8,11.87,37.5,8.57,6.41
Ge2WMg4,화합물,3,17.14,5.9,3.66,5.0,14.19,12.81
Pt4,원소,1,89.8,5.0,1.19,56.91,7.8,3.76
Sm4CaGdSi,화합물,4,131.99,3.5,3.55,12.75,2.64,5.92
Dy2Lu3,합금,2,26.75,3.1,13.48,110.78,12.83,3.75
Er2CdCs2Hf2,화합물,4,150.43,3.8,8.44,41.97,14.73,8.8
Ce3Yb2AlIn2,고온,4,106.0,5.7,8.83,7.96,14.15,139.08
FH2Rh3,화합물,3,60.32,5.4,6.86,34.44,12.81,15.21
Ca2,원소,1,115.61,2.0,18.75,188.77,5.85,1.46
Cs2Tm2,화합물,2,149.95,3.3,13.58,45.15,5.16,13.85
Si2Hg2P2Ge3,화합물,4,34.24,3.3,8.32,6.58,14.86,2.94
AuCeRb2Co,화합물,4,93.2,3.8,8.89,8.02,11.74,2.36
Be3Ba4U2Cd3HoS,고온,6,53.44,2.4,8.32,14.4,6.62,106.77
Lu3Cd2Rh3Ta3,고온,4,63.13,3.9,3.08,3.86,0.23,32.61
TiThPd3,화합물,3,158.58,5.8,8.66,7.52,9.96,24.16
Th2NBiTa,화합물,4,92.99,4.4,4.31,3.03,12.55,17.91
SrGd2Ce,합금,3,64.34,4.2,15.75,121.93,0.78,5.93
IrPd,합금,2,67.46,2.0,6.69,56.31,8.38,2.36
Ba3H3MgZr2,화합물,4,74.91,3.4,4.17,25.79,12.11,28.0
Sr2H2Zn3Au,화합물,4,76.4,5.8,3.01,15.84,0.56,13.78
Bi3Nb2,화합물,2,71.56,2.5,10.31,12.44,3.42,9.69
ZrCe3HY3,화합물,4,55.85,1.8,2.41,39.33,7.95,14.42
Co2,원소,1,222.8,5.0,5.59,199.62,1.19,2.25
Ni4Rb2,화합물,2,134.45,1.9,8.76,22.55,5.33,9.67
SeIr3,합금,2,71.46,3.8,3.32,38.5,6.88,19.3
Ni3Sb,합금,2,34.37,4.9,13.58,93.24,9.66,2.51
OsBa2PdPt2Er,고온,5,107.11,2.6,5.97,7.94,2.88,140.79
Ba4,원소,1,117.41,4.0,6.07,171.77,7.01,5.13
Ho2PPdBe,화합물,4,88.49,4.1,8.84,4.64,12.2,13.52
Pb2K2Mo,합금,3,23.84,5.9,12.96,34.79,9.02,7.32
ZnTe2AlTh,고온,4,67.13,5.2,8.66,12.23,14.24,94.54
Bi3Y3,화합물,2,43.93,4.5,4.71,44.79,5.13,7.67
Pd2Y2Sb2,합금,3,40.6,2.4,6.89,144.11,10.13,5.39
UDy,화합물,2,135.4,4.8,3.6,46.57,14.99,6.73
TlTbRuPF2Cd4,고온,6,104.47,1.5,6.35,1.73,4.97,98.42
Ge3P2,수소화물,2,1.43,2.1,5.56,16.64,2.42,181.27
MnPb2,합금,2,33.0,1.8,12.42,103.97,6.69,1.94
RbMnDy4Sr3Ti2,고온,5,98.42,3.4,7.93,13.38,10.12,80.63
RhEr2Yb3NiHoBe2,고온,6,38.11,4.0,7.82,4.07,5.99,115.86
CsCu4In4Hf2Bi,고온,5,78.37,4.5,6.94,4.93,3.8,115.21
Gd3Li3,화합물,2,125.63,1.6,11.51,13.14,4.31,1.49
CdU4P2Ho,화합물,4,134.63,4.4,11.35,29.59,0.16,19.18
Th2ReWRb4,화합물,4,13.22,3.9,7.66,10.19,8.91,41.7
Ti3Te3F2Ni2Ga3,고온,5,136.37,3.5,3.6,6.47,2.4,98.75
F3Tb2Nb,화합물,3,146.97,5.8,3.93,20.38,9.25,11.57
Si4Ag,화합물,2,12.11,2.9,10.57,20.05,10.41,4.11
Bi2Zr3GdCo,화합물,4,15.27,1.9,9.11,25.35,14.4,3.0
Cr2Ho3LiHf3,고온,4,108.2,4.0,8.89,4.04,4.49,37.1
C2DySi4Tb4,고온,4,37.72,4.6,5.21,3.28,6.49,88.28
OTa2Hg3,합금,3,45.71,4.0,3.4,36.58,11.79,3.32
Cu2NaLu2Zr4Sm,고온,5,43.71,3.6,5.52,14.72,2.14,101.44
Ga2Si2V4,화합물,3,144.83,3.9,10.69,2.02,6.22,14.8
Be3U3ScH2Bi2Zn3,고온,6,112.3,1.7,3.75,11.56,10.74,126.6
RbIr3YGa2,화합물,4,17.34,2.2,12.51,26.0,14.12,2.67
Nd2Sc3,화합물,2,149.78,2.0,6.45,38.81,3.6,3.19
HgCr3Rb3Zn2Th3,고온,5,95.96,3.7,4.99,9.38,5.47,83.25
N4B4Li3,합금,3,56.12,2.6,2.44,6.17,2.19,0.04
P2Hf2Cs2K3Te4,고온,5,50.41,2.2,6.07,13.62,14.19,127.08
InU3,화합물,2,125.31,2.4,2.39,5.36,0.22,20.47
Tb3N2Ca,화합물,3,20.85,3.9,5.02,12.91,4.43,1.73
HfCs3SeSb4,화합물,4,64.08,3.7,13.84,20.69,5.64,8.89
Ti2RhAg4Sb,화합물,4,16.58,5.8,6.46,43.52,14.04,3.92
Nd4SLa3,화합물,3,95.05,3.1,11.74,46.37,4.5,7.75
W,원소,1,109.12,5.0,13.04,89.36,8.0,5.3
NaOsAl,합금,3,138.37,3.6,11.51,58.92,1.19,0.0
B2,원소,1,152.68,4.0,13.77,152.24,6.59,10.01
ThB3,수소화물,2,49.57,2.4,1.5,71.76,14.14,202.69
Os3AlW,수소화물,3,58.68,4.3,4.82,13.94,7.78,179.17
Ce3Sn4Y3Er3,화합물,4,132.36,4.7,6.63,49.93,4.54,0.0
Cs4Ba,화합물,2,147.83,4.9,9.69,6.41,12.96,13.38
Pr4Lu,화합물,2,122.03,5.8,11.91,47.43,4.44,24.09
Ta2K4Pb2Co2,화합물,4,20.95,2.4,13.71,41.24,1.94,20.99
Ca2EuMn3VBa,고온,5,30.32,3.5,8.4,7.68,1.4,133.93
Co2GeCs2Lu3Ru2,고온,5,137.09,4.2,5.64,10.87,12.74,63.75
TeNi2C4,화합물,3,38.52,2.8,7.92,45.4,2.91,12.78
Rb2AsRuEu3Tb,고온,5,42.87,3.1,8.96,3.56,8.54,63.92
Ge3Rh2Mg,합금,3,45.54,5.0,3.73,139.63,13.15,10.86
WSi2,수소화물,2,18.26,2.7,1.94,56.73,1.39,119.87
S,원소,1,132.95,2.0,21.92,150.15,1.81,1.27
Ta2Rb4Ce,화합물,3,49.04,5.7,8.71,30.22,3.83,9.26
HfZr2Li3Sr3,화합물,4,78.51,4.5,6.29,32.1,11.48,16.12
TiNb,화합물,2,85.68,5.6,9.84,32.48,5.45,13.01
YPb2,합금,2,66.27,2.6,3.61,108.84,3.25,11.6
Co2Si4Yb3Cu2Se3,고온,5,88.11,2.7,6.27,5.45,12.61,76.6
HFGd,합금,3,116.08,4.6,12.68,138.6,9.61,4.96
CaHf2Fe2N3,화합물,4,138.38,3.6,5.49,30.03,10.03,11.68
Zn2Ag3,합금,2,123.89,3.2,5.65,36.78,8.21,2.97
PdPt4Mg4Dy,화합물,4,14.4,3.4,5.06,33.81,9.54,29.3
Ni3Ag2C3,화합물,3,80.05,5.4,5.87,20.42,8.55,10.5
Al4Ta,화합물,2,49.54,4.1,5.37,34.03,5.85,5.46
Mg4Ti,합금,2,124.09,3.3,13.52,6.82,9.38,4.46
ErNa4,합금,2,94.54,5.8,7.67,37.2,12.25,7.79
C2BSr,화합물,3,80.02,4.4,12.91,41.34,8.99,16.7
Hf4CuVGaPr3,고온,5,58.15,5.6,7.97,6.6,13.96,36.26
AsV3Re3Au2B2,고온,5,71.4,5.6,8.52,11.91,12.81,152.92
Pt2Ta,합금,2,33.09,1.7,8.32,101.32,3.64,0.0
Ce2Ni2,화합물,2,112.4,2.4,4.56,29.54,6.5,4.55
ONa,합금,2,133.65,4.5,8.48,71.74,6.72,15.89
As,원소,1,179.87,2.0,4.64,221.8,7.31,2.26
Cs3Ce2,화합물,2,15.27,3.7,7.63,43.21,13.69,4.85
AgO3Nb3Se,화합물,4,128.0,6.0,3.39,31.63,7.17,6.69
CdNi,합금,2,125.82,2.6,5.49,13.91,14.01,5.11
Y2Re,합금,2,173.59,2.1,13.34,129.41,3.86,9.93
Er4,원소,1,62.76,1.0,15.86,4.6,8.81,0.0
LaTe2Au4Co4Mo,고온,5,44.97,5.6,4.35,2.24,3.14,62.99
Hg2Ga2,수소화물,2,39.06,2.1,1.28,70.39,0.21,117.29
GeP3O,합금,3,61.55,1.5,3.29,78.04,2.18,0.0
Nb2Sr3Cd3,합금,3,61.49,3.0,10.72,28.65,6.7,0.48
Bi3RhTm2LuHo3Tl,고온,6,116.4,4.2,6.77,12.33,7.05,36.88
SeOPr2Lu3,고온,4,90.96,4.1,4.49,5.44,11.78,36.21
NiNaF4,화합물,3,124.53,3.9,12.01,35.61,1.59,22.64
K2,원소,1,144.45,3.0,11.26,147.07,6.19,6.33
Os,원소,1,127.44,3.0,14.42,45.73,7.93,1.63
ReH2,화합물,2,22.28,3.2,4.0,21.51,7.15,30.13
Ca4Cd4Se3Er3,화합물,4,111.66,2.7,8.01,26.38,8.32,16.42
Cu2,원소,1,199.02,2.0,19.65,146.43,6.75,4.97
RbK3,화합물,2,153.17,4.6,10.91,11.01,10.63,12.54
Zn,원소,1,50.63,5.0,21.98,301.45,0.79,10.75
Re3SbLuC3Er3,고온,5,89.78,2.4,4.92,11.09,4.34,35.94
K2Re2AsYb3,화합물,4,89.28,4.9,13.92,34.73,12.35,14.16
K3,원소,1,116.95,4.0,16.11,396.4,2.51,5.03
Ho3Ir2Pr,화합물,3,30.94,4.9,8.22,16.83,9.92,25.99
Sb4HTa2Pt2,화합물,4,110.46,4.2,13.47,41.78,3.32,16.07
Hf2NdSb2,수소화물,3,58.12,4.9,1.64,35.49,0.94,105.5
As3ErU3Sn,화합물,4,129.53,3.8,2.66,47.22,4.23,11.31
Mo2Zn3,합금,2,33.13,2.6,4.65,45.92,7.59,0.75
PrMn3Bi2Sr,화합물,4,109.15,5.4,1.88,23.42,14.29,9.39
Sn2NbB,합금,3,149.27,2.2,6.46,45.5,9.03,6.34
KP3SmPb3Zn3,고온,5,73.83,4.2,5.52,10.22,7.27,93.47
Sn2Ru,화합물,2,54.57,5.4,9.7,36.52,9.62,10.05
UC,화합물,2,147.59,6.0,8.37,35.29,8.07,33.19
Ce2,원소,1,112.48,3.0,19.2,363.23,9.27,12.03
Sm3Pb3,화합물,2,137.43,3.5,10.08,47.75,9.49,21.74
Yb2Hg3Bi3Au,고온,4,33.1,4.4,6.47,14.53,3.28,78.05
NbAl4Cr2Ce2Cd,고온,5,91.37,3.7,7.7,14.37,4.15,165.0
Ru2Ni,합금,2,55.32,4.5,2.65,75.53,5.09,4.49
Rh2Tl3,합금,2,78.27,4.0,5.9,19.39,1.69,8.12
CoYGdDy,고온,4,69.93,1.8,7.8,3.16,5.14,27.73
Cs4Sb2Tm2Y,고온,4,110.74,3.7,3.65,4.11,12.24,162.71
Tb3Ti2,합금,2,55.45,3.1,7.54,132.02,6.82,7.07
URu4,화합물,2,109.04,6.0,6.4,32.87,4.64,3.81
Nd2KIr,화합물,3,80.93,3.5,6.92,2.69,7.88,26.4
F3GdPtWLaHo3,고온,6,60.1,1.5,3.76,10.58,3.14,129.34
CeAuBe3,합금,3,179.11,3.0,6.07,110.39,14.96,7.72
Ca3Si,합금,2,87.09,4.7,5.04,62.21,1.21,26.1
NbGd2ThRe3,고온,4,93.28,6.0,6.66,7.32,10.57,41.93
F,원소,1,108.51,3.0,8.19,137.04,5.77,2.18
Fe4N3Rh3Pt2,화합물,4,13.58,3.0,7.15,30.89,7.79,1.65
BSe2Rb,화합물,3,18.33,5.8,9.54,1.96,10.67,13.18
